Layer,	Type,	DRAM I RD (D) (mW),	DRAM F RD (D) (mW),	DRAM O RD (D) (mW),	DRAM O WR (D) (mW),	DRAM Total (D) (mW),	DRAM Total (L) (mW),	DRAM Total (D+L) (mW),	SRAM I RD (D) (mW),	SRAM F RD (D) (mW),	SRAM O RD (D) (mW),	SRAM O WR (D) (mW),	SRAM Total (D) (mW),	SRAM I (L) (mW),	SRAM F (L) (mW),	SRAM O (L) (mW),	SRAM Total (L) (mW),	SRAM Total (D+L) (mW),	IREG (D) (mW),	IREG (L) (mW),	IREG Total (D+L) (mW),	WREG (D) (mW),	WREG (L) (mW),	WREG Total (D+L) (mW),	MUL (D) (mW),	MUL (L) (mW),	MUL Total (D+L) (mW),	ACC (D) (mW),	ACC (L) (mW),	ACC Total (D+L) (mW),	Systolic Array Total (D) (mW),	Systolic Array Total (L) (mW),	Systolic Array Total (D+L) (mW),	System Total (D) (mW),	System Total (L) (mW),	System Total (D+L) (mW),	
RNN4_FG_2,	GEMM,	0.13162847975953346,	8.415451239673043,	0.0,	0.02590103800877997,	8.572980757441357,	771.4188664,	779.9918471574413,	0.048764999010614596,	0.6322170787576987,	0.05055258930153321,	0.05419974725920586,	0.7857344143290526,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	179.78223201432905,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.02247581293116552,	2.173346768948554,	2.1958225818797197,	0.015203293057831491,	3.0291242558158933,	3.0443275488737243,	0.04471720921778162,	6.155000000000002,	6.199717209217783,	9.40343238098819,	956.5703639999998,	965.973796380988,	
RNN4_NG_2,	GEMM,	0.13162847975953346,	8.415451239673043,	0.0,	0.02590103800877997,	8.572980757441357,	771.4188664,	779.9918471574413,	0.048764999010614596,	0.6322170787576987,	0.05055258930153321,	0.05419974725920586,	0.7857344143290526,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	179.78223201432905,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.02247581293116552,	2.173346768948554,	2.1958225818797197,	0.015203293057831491,	3.0291242558158933,	3.0443275488737243,	0.04471720921778162,	6.155000000000002,	6.199717209217783,	9.40343238098819,	956.5703639999998,	965.973796380988,	
RNN4_ptwise1_2,	GEMM,	1.3566220741275166,	1.3566220741275166,	0.0,	0.1749557251342282,	2.888199873389261,	771.4188664,	774.3070662733892,	0.10118390369127517,	0.10118390369127517,	0.007779564261744966,	0.011188799697986576,	0.2213361713422819,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	179.2178337713423,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.0426330918413433,	2.173346768948554,	2.2159798607898975,	0.028838262322722373,	3.0291242558158933,	3.057962518138616,	0.08588954630872483,	6.155000000000002,	6.240889546308727,	3.195425591040268,	956.5703639999999,	959.7657895910402,	
RNN4_ptwise2_2,	GEMM,	1.3566220741275166,	1.3566220741275166,	0.0,	0.1749557251342282,	2.888199873389261,	771.4188664,	774.3070662733892,	0.10118390369127517,	0.10118390369127517,	0.007779564261744966,	0.011188799697986576,	0.2213361713422819,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	179.2178337713423,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.0426330918413433,	2.173346768948554,	2.2159798607898975,	0.028838262322722373,	3.0291242558158933,	3.057962518138616,	0.08588954630872483,	6.155000000000002,	6.240889546308727,	3.195425591040268,	956.5703639999999,	959.7657895910402,	
RNN4_FG_3,	GEMM,	0.13162847975953346,	8.415451239673043,	0.0,	0.02590103800877997,	8.572980757441357,	771.4188664,	779.9918471574413,	0.048764999010614596,	0.6322170787576987,	0.05055258930153321,	0.05419974725920586,	0.7857344143290526,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	179.78223201432905,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.02247581293116552,	2.173346768948554,	2.1958225818797197,	0.015203293057831491,	3.0291242558158933,	3.0443275488737243,	0.04471720921778162,	6.155000000000002,	6.199717209217783,	9.40343238098819,	956.5703639999998,	965.973796380988,	
RNN4_NG_3,	GEMM,	0.13162847975953346,	8.415451239673043,	0.0,	0.02590103800877997,	8.572980757441357,	771.4188664,	779.9918471574413,	0.048764999010614596,	0.6322170787576987,	0.05055258930153321,	0.05419974725920586,	0.7857344143290526,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	179.78223201432905,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.02247581293116552,	2.173346768948554,	2.1958225818797197,	0.015203293057831491,	3.0291242558158933,	3.0443275488737243,	0.04471720921778162,	6.155000000000002,	6.199717209217783,	9.40343238098819,	956.5703639999998,	965.973796380988,	
RNN4_ptwise1_3,	GEMM,	1.3566220741275166,	1.3566220741275166,	0.0,	0.1749557251342282,	2.888199873389261,	771.4188664,	774.3070662733892,	0.10118390369127517,	0.10118390369127517,	0.007779564261744966,	0.011188799697986576,	0.2213361713422819,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	179.2178337713423,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.0426330918413433,	2.173346768948554,	2.2159798607898975,	0.028838262322722373,	3.0291242558158933,	3.057962518138616,	0.08588954630872483,	6.155000000000002,	6.240889546308727,	3.195425591040268,	956.5703639999999,	959.7657895910402,	
RNN4_ptwise2_3,	GEMM,	1.3566220741275166,	1.3566220741275166,	0.0,	0.1749557251342282,	2.888199873389261,	771.4188664,	774.3070662733892,	0.10118390369127517,	0.10118390369127517,	0.007779564261744966,	0.011188799697986576,	0.2213361713422819,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	179.2178337713423,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.0426330918413433,	2.173346768948554,	2.2159798607898975,	0.028838262322722373,	3.0291242558158933,	3.057962518138616,	0.08588954630872483,	6.155000000000002,	6.240889546308727,	3.195425591040268,	956.5703639999999,	959.7657895910402,	
RNN4_FG_4,	GEMM,	0.13162847975953346,	8.415451239673043,	0.0,	0.02590103800877997,	8.572980757441357,	771.4188664,	779.9918471574413,	0.048764999010614596,	0.6322170787576987,	0.05055258930153321,	0.05419974725920586,	0.7857344143290526,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	179.78223201432905,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.02247581293116552,	2.173346768948554,	2.1958225818797197,	0.015203293057831491,	3.0291242558158933,	3.0443275488737243,	0.04471720921778162,	6.155000000000002,	6.199717209217783,	9.40343238098819,	956.5703639999998,	965.973796380988,	
RNN4_NG_4,	GEMM,	0.13162847975953346,	8.415451239673043,	0.0,	0.02590103800877997,	8.572980757441357,	771.4188664,	779.9918471574413,	0.048764999010614596,	0.6322170787576987,	0.05055258930153321,	0.05419974725920586,	0.7857344143290526,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	179.78223201432905,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.02247581293116552,	2.173346768948554,	2.1958225818797197,	0.015203293057831491,	3.0291242558158933,	3.0443275488737243,	0.04471720921778162,	6.155000000000002,	6.199717209217783,	9.40343238098819,	956.5703639999998,	965.973796380988,	
RNN4_ptwise1_4,	GEMM,	1.3566220741275166,	1.3566220741275166,	0.0,	0.1749557251342282,	2.888199873389261,	771.4188664,	774.3070662733892,	0.10118390369127517,	0.10118390369127517,	0.007779564261744966,	0.011188799697986576,	0.2213361713422819,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	179.2178337713423,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.0426330918413433,	2.173346768948554,	2.2159798607898975,	0.028838262322722373,	3.0291242558158933,	3.057962518138616,	0.08588954630872483,	6.155000000000002,	6.240889546308727,	3.195425591040268,	956.5703639999999,	959.7657895910402,	
RNN4_ptwise2_4,	GEMM,	1.3566220741275166,	1.3566220741275166,	0.0,	0.1749557251342282,	2.888199873389261,	771.4188664,	774.3070662733892,	0.10118390369127517,	0.10118390369127517,	0.007779564261744966,	0.011188799697986576,	0.2213361713422819,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	179.2178337713423,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.0426330918413433,	2.173346768948554,	2.2159798607898975,	0.028838262322722373,	3.0291242558158933,	3.057962518138616,	0.08588954630872483,	6.155000000000002,	6.240889546308727,	3.195425591040268,	956.5703639999999,	959.7657895910402,	
RNN4_FG_5,	GEMM,	0.13162847975953346,	8.415451239673043,	0.0,	0.02590103800877997,	8.572980757441357,	771.4188664,	779.9918471574413,	0.048764999010614596,	0.6322170787576987,	0.05055258930153321,	0.05419974725920586,	0.7857344143290526,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	179.78223201432905,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.02247581293116552,	2.173346768948554,	2.1958225818797197,	0.015203293057831491,	3.0291242558158933,	3.0443275488737243,	0.04471720921778162,	6.155000000000002,	6.199717209217783,	9.40343238098819,	956.5703639999998,	965.973796380988,	
RNN4_NG_5,	GEMM,	0.13162847975953346,	8.415451239673043,	0.0,	0.02590103800877997,	8.572980757441357,	771.4188664,	779.9918471574413,	0.048764999010614596,	0.6322170787576987,	0.05055258930153321,	0.05419974725920586,	0.7857344143290526,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	179.78223201432905,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.02247581293116552,	2.173346768948554,	2.1958225818797197,	0.015203293057831491,	3.0291242558158933,	3.0443275488737243,	0.04471720921778162,	6.155000000000002,	6.199717209217783,	9.40343238098819,	956.5703639999998,	965.973796380988,	
RNN4_ptwise1_5,	GEMM,	1.3566220741275166,	1.3566220741275166,	0.0,	0.1749557251342282,	2.888199873389261,	771.4188664,	774.3070662733892,	0.10118390369127517,	0.10118390369127517,	0.007779564261744966,	0.011188799697986576,	0.2213361713422819,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	179.2178337713423,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.0426330918413433,	2.173346768948554,	2.2159798607898975,	0.028838262322722373,	3.0291242558158933,	3.057962518138616,	0.08588954630872483,	6.155000000000002,	6.240889546308727,	3.195425591040268,	956.5703639999999,	959.7657895910402,	
RNN4_ptwise2_5,	GEMM,	1.3566220741275166,	1.3566220741275166,	0.0,	0.1749557251342282,	2.888199873389261,	771.4188664,	774.3070662733892,	0.10118390369127517,	0.10118390369127517,	0.007779564261744966,	0.011188799697986576,	0.2213361713422819,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	179.2178337713423,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.0426330918413433,	2.173346768948554,	2.2159798607898975,	0.028838262322722373,	3.0291242558158933,	3.057962518138616,	0.08588954630872483,	6.155000000000002,	6.240889546308727,	3.195425591040268,	956.5703639999999,	959.7657895910402,	
RNN4_FG_6,	GEMM,	0.13162847975953346,	8.415451239673043,	0.0,	0.02590103800877997,	8.572980757441357,	771.4188664,	779.9918471574413,	0.048764999010614596,	0.6322170787576987,	0.05055258930153321,	0.05419974725920586,	0.7857344143290526,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	179.78223201432905,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.02247581293116552,	2.173346768948554,	2.1958225818797197,	0.015203293057831491,	3.0291242558158933,	3.0443275488737243,	0.04471720921778162,	6.155000000000002,	6.199717209217783,	9.40343238098819,	956.5703639999998,	965.973796380988,	
RNN4_NG_6,	GEMM,	0.13162847975953346,	8.415451239673043,	0.0,	0.02590103800877997,	8.572980757441357,	771.4188664,	779.9918471574413,	0.048764999010614596,	0.6322170787576987,	0.05055258930153321,	0.05419974725920586,	0.7857344143290526,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	179.78223201432905,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.02247581293116552,	2.173346768948554,	2.1958225818797197,	0.015203293057831491,	3.0291242558158933,	3.0443275488737243,	0.04471720921778162,	6.155000000000002,	6.199717209217783,	9.40343238098819,	956.5703639999998,	965.973796380988,	
RNN4_ptwise1_6,	GEMM,	1.3566220741275166,	1.3566220741275166,	0.0,	0.1749557251342282,	2.888199873389261,	771.4188664,	774.3070662733892,	0.10118390369127517,	0.10118390369127517,	0.007779564261744966,	0.011188799697986576,	0.2213361713422819,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	179.2178337713423,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.0426330918413433,	2.173346768948554,	2.2159798607898975,	0.028838262322722373,	3.0291242558158933,	3.057962518138616,	0.08588954630872483,	6.155000000000002,	6.240889546308727,	3.195425591040268,	956.5703639999999,	959.7657895910402,	
RNN4_ptwise2_6,	GEMM,	1.3566220741275166,	1.3566220741275166,	0.0,	0.1749557251342282,	2.888199873389261,	771.4188664,	774.3070662733892,	0.10118390369127517,	0.10118390369127517,	0.007779564261744966,	0.011188799697986576,	0.2213361713422819,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	179.2178337713423,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.0426330918413433,	2.173346768948554,	2.2159798607898975,	0.028838262322722373,	3.0291242558158933,	3.057962518138616,	0.08588954630872483,	6.155000000000002,	6.240889546308727,	3.195425591040268,	956.5703639999999,	959.7657895910402,	
RNN4_FG_7,	GEMM,	0.13162847975953346,	8.415451239673043,	0.0,	0.02590103800877997,	8.572980757441357,	771.4188664,	779.9918471574413,	0.048764999010614596,	0.6322170787576987,	0.05055258930153321,	0.05419974725920586,	0.7857344143290526,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	179.78223201432905,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.02247581293116552,	2.173346768948554,	2.1958225818797197,	0.015203293057831491,	3.0291242558158933,	3.0443275488737243,	0.04471720921778162,	6.155000000000002,	6.199717209217783,	9.40343238098819,	956.5703639999998,	965.973796380988,	
RNN4_NG_7,	GEMM,	0.13162847975953346,	8.415451239673043,	0.0,	0.02590103800877997,	8.572980757441357,	771.4188664,	779.9918471574413,	0.048764999010614596,	0.6322170787576987,	0.05055258930153321,	0.05419974725920586,	0.7857344143290526,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	179.78223201432905,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.02247581293116552,	2.173346768948554,	2.1958225818797197,	0.015203293057831491,	3.0291242558158933,	3.0443275488737243,	0.04471720921778162,	6.155000000000002,	6.199717209217783,	9.40343238098819,	956.5703639999998,	965.973796380988,	
RNN4_ptwise1_7,	GEMM,	1.3566220741275166,	1.3566220741275166,	0.0,	0.1749557251342282,	2.888199873389261,	771.4188664,	774.3070662733892,	0.10118390369127517,	0.10118390369127517,	0.007779564261744966,	0.011188799697986576,	0.2213361713422819,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	179.2178337713423,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.0426330918413433,	2.173346768948554,	2.2159798607898975,	0.028838262322722373,	3.0291242558158933,	3.057962518138616,	0.08588954630872483,	6.155000000000002,	6.240889546308727,	3.195425591040268,	956.5703639999999,	959.7657895910402,	
RNN4_ptwise2_7,	GEMM,	1.3566220741275166,	1.3566220741275166,	0.0,	0.1749557251342282,	2.888199873389261,	771.4188664,	774.3070662733892,	0.10118390369127517,	0.10118390369127517,	0.007779564261744966,	0.011188799697986576,	0.2213361713422819,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	179.2178337713423,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.0426330918413433,	2.173346768948554,	2.2159798607898975,	0.028838262322722373,	3.0291242558158933,	3.057962518138616,	0.08588954630872483,	6.155000000000002,	6.240889546308727,	3.195425591040268,	956.5703639999999,	959.7657895910402,	
RNN4_FG_8,	GEMM,	0.13162847975953346,	8.415451239673043,	0.0,	0.02590103800877997,	8.572980757441357,	771.4188664,	779.9918471574413,	0.048764999010614596,	0.6322170787576987,	0.05055258930153321,	0.05419974725920586,	0.7857344143290526,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	179.78223201432905,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.02247581293116552,	2.173346768948554,	2.1958225818797197,	0.015203293057831491,	3.0291242558158933,	3.0443275488737243,	0.04471720921778162,	6.155000000000002,	6.199717209217783,	9.40343238098819,	956.5703639999998,	965.973796380988,	
RNN4_NG_8,	GEMM,	0.13162847975953346,	8.415451239673043,	0.0,	0.02590103800877997,	8.572980757441357,	771.4188664,	779.9918471574413,	0.048764999010614596,	0.6322170787576987,	0.05055258930153321,	0.05419974725920586,	0.7857344143290526,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	179.78223201432905,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.02247581293116552,	2.173346768948554,	2.1958225818797197,	0.015203293057831491,	3.0291242558158933,	3.0443275488737243,	0.04471720921778162,	6.155000000000002,	6.199717209217783,	9.40343238098819,	956.5703639999998,	965.973796380988,	
RNN4_ptwise1_8,	GEMM,	1.3566220741275166,	1.3566220741275166,	0.0,	0.1749557251342282,	2.888199873389261,	771.4188664,	774.3070662733892,	0.10118390369127517,	0.10118390369127517,	0.007779564261744966,	0.011188799697986576,	0.2213361713422819,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	179.2178337713423,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.0426330918413433,	2.173346768948554,	2.2159798607898975,	0.028838262322722373,	3.0291242558158933,	3.057962518138616,	0.08588954630872483,	6.155000000000002,	6.240889546308727,	3.195425591040268,	956.5703639999999,	959.7657895910402,	
RNN4_ptwise2_8,	GEMM,	1.3566220741275166,	1.3566220741275166,	0.0,	0.1749557251342282,	2.888199873389261,	771.4188664,	774.3070662733892,	0.10118390369127517,	0.10118390369127517,	0.007779564261744966,	0.011188799697986576,	0.2213361713422819,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	179.2178337713423,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.0426330918413433,	2.173346768948554,	2.2159798607898975,	0.028838262322722373,	3.0291242558158933,	3.057962518138616,	0.08588954630872483,	6.155000000000002,	6.240889546308727,	3.195425591040268,	956.5703639999999,	959.7657895910402,	
RNN4_FG_9,	GEMM,	0.13162847975953346,	8.415451239673043,	0.0,	0.02590103800877997,	8.572980757441357,	771.4188664,	779.9918471574413,	0.048764999010614596,	0.6322170787576987,	0.05055258930153321,	0.05419974725920586,	0.7857344143290526,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	179.78223201432905,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.02247581293116552,	2.173346768948554,	2.1958225818797197,	0.015203293057831491,	3.0291242558158933,	3.0443275488737243,	0.04471720921778162,	6.155000000000002,	6.199717209217783,	9.40343238098819,	956.5703639999998,	965.973796380988,	
RNN4_NG_9,	GEMM,	0.13162847975953346,	8.415451239673043,	0.0,	0.02590103800877997,	8.572980757441357,	771.4188664,	779.9918471574413,	0.048764999010614596,	0.6322170787576987,	0.05055258930153321,	0.05419974725920586,	0.7857344143290526,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	179.78223201432905,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.02247581293116552,	2.173346768948554,	2.1958225818797197,	0.015203293057831491,	3.0291242558158933,	3.0443275488737243,	0.04471720921778162,	6.155000000000002,	6.199717209217783,	9.40343238098819,	956.5703639999998,	965.973796380988,	
RNN4_ptwise1_9,	GEMM,	1.3566220741275166,	1.3566220741275166,	0.0,	0.1749557251342282,	2.888199873389261,	771.4188664,	774.3070662733892,	0.10118390369127517,	0.10118390369127517,	0.007779564261744966,	0.011188799697986576,	0.2213361713422819,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	179.2178337713423,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.0426330918413433,	2.173346768948554,	2.2159798607898975,	0.028838262322722373,	3.0291242558158933,	3.057962518138616,	0.08588954630872483,	6.155000000000002,	6.240889546308727,	3.195425591040268,	956.5703639999999,	959.7657895910402,	
RNN4_ptwise2_9,	GEMM,	1.3566220741275166,	1.3566220741275166,	0.0,	0.1749557251342282,	2.888199873389261,	771.4188664,	774.3070662733892,	0.10118390369127517,	0.10118390369127517,	0.007779564261744966,	0.011188799697986576,	0.2213361713422819,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	179.2178337713423,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.0426330918413433,	2.173346768948554,	2.2159798607898975,	0.028838262322722373,	3.0291242558158933,	3.057962518138616,	0.08588954630872483,	6.155000000000002,	6.240889546308727,	3.195425591040268,	956.5703639999999,	959.7657895910402,	
FC5,	GEMM,	0.9860326294878047,	4.8997898977804875,	0.0,	0.12716294168292683,	6.012985468951219,	771.4188664,	777.4318518689512,	0.07354342268292682,	0.3677171134146341,	0.028272074999999997,	0.036138203487804874,	0.5056708145853659,	59.6654992,	59.6654992,	59.6654992,	178.99649759999997,	179.50216841458536,	0.005239782023302964,	0.4762644876177772,	0.4815042696410801,	0.005239782023302964,	0.4762644876177772,	0.4815042696410801,	0.030986978948098303,	2.173346768948554,	2.2043337478966523,	0.020960493102856748,	3.0291242558158933,	3.05008474891875,	0.06242703609756098,	6.155000000000002,	6.217427036097563,	6.581083319634145,	956.5703639999999,	963.151447319634,	
FC6,	GEMM,	1.2401023867791408,	2.4706549021165642,	0.0,	0.1599288530368098,	3.8706861419325147,	771.4188664,	775.2895525419325,	0.0924932616564417,	0.1849865233128834,	0.014222761656441716,	0.019033320828220856,	0.3107358674539877,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	179.307233467454,	0.006589909906608021,	0.47626448761777723,	0.48285439752438525,	0.006589909906608021,	0.47626448761777723,	0.48285439752438525,	0.03897135389178007,	2.173346768948554,	2.212318122840334,	0.026361356356353578,	3.0291242558158933,	3.055485612172247,	0.07851253006134969,	6.155000000000002,	6.233512530061351,	4.259934539447852,	956.5703639999999,	960.8302985394478,	
eyeriss_08b_bp_001c_uBrain_t7_ddr3_w__spm,	All,	0.25974662215251687,	6.949797222209837,	0.0,	0.35426160290279735,	7.563805447265156,	771.4188663999996,	778.9826718472656,	0.11611680125640546,	0.5213046183867721,	0.13535295679828369,	0.15472297623952389,	0.9274973526809857,	59.66549919999995,	59.66549919999995,	59.66549919999995,	178.99649760000014,	179.923994952681,	0.004309756904622548,	0.47626448761777623,	0.4805742445224001,	0.002954354735476324,	0.47626448761777623,	0.47921884235325385,	0.027643898534889338,	2.173346768948553,	2.2009906674834423,	0.018699136354890754,	3.0291242558158897,	3.0478233921707854,	0.05360714652987901,	6.155000000000003,	6.208607146529878,	8.544909946476006,	956.5703639999998,	965.1152739464757,	
